VO_JA_Yoimiya_Hello.ogg  ||  「長野原」へよう来てくれたな！うちは宵宮、何でも言うてや～！
VO_JA_Yoimiya_Something_to_Share_-_Cycles.ogg  ||  「花火はな、空に花を咲かせ光を散らしたあと、雨や雪になって大地に帰るんや。そうやって土を潤し、人を育み、もういっぺん綺麗な花を空に咲かすんや。」父ちゃんは、よう物語を聞かせてくれるんやけど、今のがいっちゃんのお気に入りや！
VO_JA_Yoimiya_Something_to_Share_-_Spots_of_Light.ogg  ||  あんた、小っちゃい頃に木漏れ日って踏んだことある？晴れた日に、木々の隙間から漏れてくる光で、踏んだら消えると思うたらいつも足の甲に乗っかってくんねん。せやから、なんべんもなんべんも踏むんやけど、成功した試しがあらへん…あんまりにも悔しうて、道端の岩に座って溜め息ついたことあんねん、「はぁ、この世には踏めないもんもあるんやなぁー」って。
VO_JA_Yoimiya_Interesting_Things.ogg  ||  ある夏祭りで、金魚すくいをしとる子供を横から見とったらふと思いついたんや、水に浮かぶ花火を作れへんかなーって。ほんで誕生したのが「金魚花火」や！水面を泳いだり、七色に光ったり、泡をぶくぶく吐いたりする、不思議やろ！うちもほんまに成功すると思ってへんかったから、世の中ってやっぱ不思議やなぁ～。
VO_JA_Yoimiya_About_Beidou.ogg  ||  稲妻が鎖国してからは、北斗姉ちゃんにずっと花火の運搬を頼んできたんや。で、そのお礼に船の形をしたおっきい花火を用意してビックリさせたろ思うて。「南十字武装船隊」が港を離れる時に、船員たちの目の前でその花火を打ち上げたんや。ほならみんな、船隊の船が飛んでったってびっくりしとったよ、あははっ！せやけど、北斗姉ちゃんはめっちゃ喜んどったで、贈りもんはこうでなくちゃって言うとった、へへへ。
VO_JA_Yoimiya_About_the_Raiden_Shogun.ogg  ||  花火は将軍様が求める「永遠」から、いっちゃんかけ離れとるもんや。将軍様は刹那の光なんか稲妻になんの価値もないと思うとるはず。はぁ、「永遠」を握る者には分からへんのやろな。「刹那を生きる人」やからこそ、その刹那の甘美を胸に刻み込もうとしとることに。
VO_JA_Yoimiya_About_Kamisato_Ayaka_-_Seriousness.ogg  ||  仕事の関係で、彼女とはよう協力することがあるんや。他の奉行とちごうて、ちゃんとうちの話を最後まで聞いてくれるし、丁寧に答えてくれる、しかも嫌味も言わへん。「おしとやか」っちゅう言葉は、まさに彼女のためにあるんやろな。
VO_JA_Yoimiya_About_Kamisato_Ayaka_-_Baths.ogg  ||  昔、夏祭りの件で遅くまで相談したことがあったんやけど、くたくたに疲れてもうたから銭湯に誘ったんや…せやけど彼女、「銭湯」が大勢で入る風呂やと知った瞬間、顔を真っ赤にしてもうて。うーん、ええとこのお嬢さんは銭湯に入れへんってことを知るきっかけになったわ。
VO_JA_Yoimiya_About_Thoma.ogg  ||  とにかく口達者なヤツや、あの口から出てくる言葉には必ず何らかの考えが込められとる。一見繋がりのなさそうな言葉でも、最後は上手いこと誘導されてまう。うーん…うちとは正反対の性格やさかい、困った時は彼に助けを求めることにするわ。
VO_JA_Yoimiya_About_Yae_Miko.ogg  ||  いつやったか神社の祭りで、宮司様のために手持ち花火を用意してくれって綾華ちゃんに頼まれたことがあったんや…せやけど、宮司様って祭りに出席するさかい、神社の境内に座りっきりやろ？宮司様がどうやって花火で遊ぶのか気になって、祭り中ずっと観察しとったんや。ほなら綾華ちゃんがうちのとこにきて、「宮司様、とても満足されておりました」って言うて…えっ？もう花火で遊んだん？ってなって…もしかして、うちが見とったのは宮司様やあらへんかったのかな？
VO_JA_Yoimiya_About_Arataki_Itto_-_Duels.ogg  ||  ああ、あの人なぁ。ああ見えて、子供にけっこう人気なんや。せやけど負けず嫌いやさかい、子供の遊びに付きおうてる内にいつの間にか勝負しとるんや。ラーメンのスープの一気飲み勝負とか、表情を変えんとどっちが梅干しを食えるかとか、ほんで他の子供たちは横でどっちが勝つか予想したり、応援したりする。やれやれうちも負けてられへんな。
VO_JA_Yoimiya_About_Kaedehara_Kazuha.ogg  ||  うちって考えなしやさかい、思うたことをすぐ口に出してしまうんや。逆に思慮深い人は自分の事を語らずに、昔の詩とか、道沿いの景色のことしか言わへん。花鳥風月は語れても、目の前の現実については口をつぐむ。あいつもきっと過去に何かあったんやろなぁ、うんうん、よう分かるでぇ。
VO_JA_Yoimiya_About_Kujou_Sara.ogg  ||  治安と消防関連で天領奉行にはよう通うんやけど、あっこの人達の中でも九条裟羅はいっちゃん筋が通っとるっちゅうか、少なくとも何も分からへん状況からうちのことを頭ごなしに否定せえへん。うちが正しかったら、彼女も素直にうちを認めてくれる。ほんでうちが間違っとったら…はは、トーマに頼んで詫びを入れるしかあらへん！
VO_JA_Yoimiya_About_Sayu.ogg  ||  あの子におうたら、うちに教えてくれへん？祭りに連れていきたいんや、それにお友達もぎょうさん紹介したろ思うて。いっつも気怠そうにしとるさかい、一緒に遊ぶ友達がおったら元気になるんちゃうかな？
VO_JA_Yoimiya_About_Klee.ogg  ||  モンドに爆弾作りの得意な子がおるんやて！？爆弾も花火も似たようなもんやし、花火作りも天才かもしれへんな。一度会うてみたいもんやわ。あっ、せやけど…子供に爆弾は危険やあらへん？モンドの人はなんも言わへんの？
VO_JA_Yoimiya_About_Kirara.ogg  ||  「狛荷屋」の配達員のことか？あの子はな、ずいぶんと手先が器用なんや。実は花火作りっちゅうんは、色を決める材料が一種類か二種類ぐらいあるんやけど、それの消耗はごっつ激しくってなぁ。そないな時はいつも、あの子がすぐに補充してくれるから、めっちゃ助かっとるねん。前に感謝の気持ちとして花火を一個贈ったんやけど、花火に驚かされた経験があるらしうて、どうしても火をつけたがらんかったんや。ふふ、せやから、あの子には遠くのほうから、うちが上げた花火を見てもらうしかあらへんな。
VO_JA_Yoimiya_More_About_Yoimiya_-_01.ogg  ||  うちの物語が聞きたいって？ええよ、こっち座りぃ、自慢の「長野原」家の話をしたるで！めったに聞かれへん真面目な話やからなぁ。
VO_JA_Yoimiya_More_About_Yoimiya_-_02.ogg  ||  うちの家では代々、花火を注文したお客さん一人一人に短冊を渡しとるんや。短冊には長野原家の者しか読まれへん花火の作り方が載っとって、十年経っても百年経っても、お客さんが短冊を持ってくれば、当時とおんなじ花火を作れるようになっとる。
VO_JA_Yoimiya_More_About_Yoimiya_-_03.ogg  ||  最高の花火に最高の瞬間、移ろいやすい一瞬の気持ちが花火へと収まり、違うた形で受け継がれてく。短冊は、過去を振り返りたい人の門を開けるための鍵。せやから「長野原」の花火職人の仕事は、みんなの門を開く手助けをすることなんや。
VO_JA_Yoimiya_More_About_Yoimiya_-_04.ogg  ||  夏祭りでは時折り感動的な物語が生まれるんや。花火の下で知りおうた人たちが成長して、ほんで年を取って老いていく。彼らがかつての花火を打ち上げた時、空を照らすんは在りし日の姿…花火は永遠にはなれへんけど、花火に秘められた素晴らしい想いは稲妻と共に永遠を歩むべきなんや。
VO_JA_Yoimiya_More_About_Yoimiya_-_05.ogg  ||  最後の物語は…いや、やめとくわ、今はあんたと静かに花火を見てたい。今宵の絶景と、あんたが話してくれた言葉を全部書き留めたい。ああ、誤解せえへんで、もう終いっちゅう意味やあらへん。…うちとあんたの「物語」を、ここから書き始めるっちゅう意味や。
VO_JA_Yoimiya_Hobbies_-_Playing.ogg  ||  花火や！なんや、あかんの？せやなぁ…難しい質問や、お隣さんとお喋りするのも好きやし、子供たちと夏祭りにいくのも好きやし、泳ぐのも、山で果物を採るのも好きや。ああっ、一つに決められへん…あっ、そや！趣味はみんなと遊ぶことや！
VO_JA_Yoimiya_Hobbies_-_Copycat.ogg  ||  くるんっ！ん？なんや、今パイモンちゃんが消える時のマネをしとるんや！
VO_JA_Yoimiya_Troubles.ogg  ||  長いこと読んどった連載小説がとうとう完結したんやけど、ヒロインが記憶喪失になって、挙げるはずやった婚礼もなしになってもうた…悲しい、なんちゅうことや…
VO_JA_Yoimiya_Favorite_Food.ogg  ||  うちは主食よりも菓子の方が好きや。祭りの時に屋台を一つずつ回って、お腹いーっぱいになるまで食べるんや。ところで、あんたって菓子を作れたりせえへん？うちが作った団子と交換しいひん？おっきいのを取ってええから。
VO_JA_Yoimiya_Least_Favorite_Food.ogg  ||  牛乳や。飲んだらお腹が花火大会みたいにドンッドンッ！ってなってまうんや。せやけど、牛乳が入った料理とか菓子はぜんぜん平気でな、何なんやろな…お腹の仙霊さん、好き嫌いが激しいんやろか？
VO_JA_Yoimiya_Receiving_a_Gift_-_01.ogg  ||  わぁ、あんた甘味を作るんが上手いんやな！祭りの屋台で出したら、絶対いっちゃん人気でると思うで！
VO_JA_Yoimiya_Receiving_a_Gift_-_02.ogg  ||  うまいもん食べたら、元気が出るもんや。そんで元気が出たら、次は物語を語りとうなる。ほな、ええ物語、選んどくな！
VO_JA_Yoimiya_Receiving_a_Gift_-_03.ogg  ||  んん？なんや、お腹でフライムがはしゃいどるみたいやな…さすがに、それはないと思うんやけど…
VO_JA_Yoimiya_Birthday.ogg  ||  誕生日を楽しむんはあんただけやあらへんで、ケーキを贈る人、蠟燭に火つける人、祝ってくれる人、あんたが生まれたことをみんな感謝しとる。せやから、騒がしい方がええ。みんなに祝ってもらうんや！さあ、おめでとうさん！準備はええか？でっかい花火、打ち上げるでぇー！
VO_JA_Yoimiya_Feelings_About_Ascension_-_01.ogg  ||  もっと高く、もっと響きぃ！
VO_JA_Yoimiya_Feelings_About_Ascension_-_02.ogg  ||  ふっふ～ん！弓矢で花火を打ち上げるのもありやな！
VO_JA_Yoimiya_Feelings_About_Ascension_-_03.ogg  ||  せっかくあんたから戦い方を学んだし、いっそのこと花火職人だけやなく、日雇い冒険者でもやろかな…「英雄」もええかもしれへんな？
VO_JA_Yoimiya_Feelings_About_Ascension_-_04.ogg  ||  「『英雄』——宵宮姉さん参上！悪霊退散！正義必勝！」
この台詞を言うたあと、あんたから教わった力を子供たちに紹介するのはどうや？かっこええんとちゃう？あははっ、あんたも遠慮せんと、いじめられたらこの宵宮姉さんに言うんやで！
VO_JA_Yoimiya_Elemental_Skill_1_01.ogg  ||  花火見ぃひん？
VO_JA_Yoimiya_Elemental_Skill_1_02.ogg  ||  火ぃつけるで！
VO_JA_Yoimiya_Elemental_Skill_1_03.ogg  ||  火の用心～
VO_JA_Yoimiya_Elemental_Burst_01.ogg  ||  祭りの開始や！
VO_JA_Yoimiya_Elemental_Burst_02.ogg  ||  金魚やで！
VO_JA_Yoimiya_Elemental_Burst_03.ogg  ||  た～まや～！
VO_JA_Yoimiya_Sprint_Start_01.ogg  ||  
VO_JA_Yoimiya_Deploying_Wind_Glider_01.ogg  ||  飛ぶでぇ——
VO_JA_Yoimiya_Opening_Treasure_Chest_01.ogg  ||  花火の材料はあらへんかな？
VO_JA_Yoimiya_Opening_Treasure_Chest_02.ogg  ||  中身はなんやろな～♪
VO_JA_Yoimiya_Opening_Treasure_Chest_03.ogg  ||  うちに開けさせてぇ！
VO_JA_Yoimiya_Low_HP_01.ogg  ||  あかん！
VO_JA_Yoimiya_Low_HP_02.ogg  ||  みっともない…
VO_JA_Yoimiya_Low_HP_03.ogg  ||  しっかりせぇへんと。
VO_JA_Yoimiya_Ally_at_Low_HP_01.ogg  ||  うちが援護したる！
VO_JA_Yoimiya_Ally_at_Low_HP_02.ogg  ||  うちがおれば心配無用や。
VO_JA_Yoimiya_Fallen_01.ogg  ||  油断してもうた…
VO_JA_Yoimiya_Fallen_02.ogg  ||  遊び…すぎたかもしれへん。
VO_JA_Yoimiya_Fallen_03.ogg  ||  祭りも…終いや。
VO_JA_Yoimiya_Light_Hit_Taken_02.ogg  ||  ちょ…
VO_JA_Yoimiya_Light_Hit_Taken_01.ogg  ||  
VO_JA_Yoimiya_Heavy_Hit_Taken_02.ogg  ||  今のなしぃ！
VO_JA_Yoimiya_Heavy_Hit_Taken_01.ogg  ||  
VO_JA_Yoimiya_Joining_Party_01.ogg  ||  祭りでもやるん？
VO_JA_Yoimiya_Joining_Party_02.ogg  ||  遊びに行こかぁ～
VO_JA_Yoimiya_Joining_Party_03.ogg  ||  お友達が増えたでぇ！
VO_JA_Yoimiya_Standby_01.ogg  ||  
VO_JA_Yoimiya_Light_Attack_01.ogg  ||  
VO_JA_Yoimiya_Mid_Attack_01.ogg  ||  
VO_JA_Yoimiya_Heavy_Attack_01.ogg  ||  
VO_JA_Yoimiya_Climbing_01.ogg  ||  
VO_JA_Yoimiya_Climbing_Breath_01.ogg  ||  
VO_JA_Yoimiya_Jumping_01.ogg  ||  
